Question , Choice1 , Choice2 , Choice3 , Choice4 , Answer
How many Schedules does the Constitution of India have? , Seven , Ten , Twelve , Fifteen , 3
What is the fundamental right enshrined in Article 21 of the Constitution of India? , Right to Freedom of Speech , Right to Equality , Right to Life and Personal Liberty , Right to Freedom of Religion , 3
Which part of the Constitution of India contains the Directive Principles of State Policy? , Part III , Part IV , Part V , Part VI , 2
What is the minimum age for becoming the President of India? , 25 years , 35 years , 40 years , 45 years , 2
Which Article of the Constitution of India deals with the abolition of untouchability? , Article 14 , Article 15 , Article 16 , Article 17 , 4
How many members can the President nominate to the Rajya Sabha? , 10 , 12 , 15 , 20 , 2
Who is regarded as the chief architect of the Constitution of India? , Jawaharlal Nehru , B. R. Ambedkar , Sardar Patel , Rajendra Prasad , 2
In which year was the Constitution of India adopted? , 1947 , 1948 , 1949 , 1950 , 3
Which schedule of the Constitution of India deals with the anti-defection law? , Seventh , Eighth , Ninth , Tenth , 4
Who was the first President of independent India? , Rajendra Prasad , S. Radhakrishnan , B. R. Ambedkar , Jawaharlal Nehru , 1
Which Article of the Constitution of India grants special status to Jammu and Kashmir (before abrogation)? , Article 356 , Article 370 , Article 371 , Article 395 , 2
What is the maximum number of members in the Lok Sabha? , 500 , 545 , 552 , 560 , 3
Which part of the Indian Constitution deals with emergency provisions? , Part XVI , Part XVII , Part XVIII , Part XIX , 3
Who administers the oath of office to the President of India? , Chief Justice of India , Prime Minister , Vice President , Speaker of Lok Sabha , 1
Which fundamental right was removed by the 44th Amendment Act of 1978? , Right to Property , Right to Equality , Right to Freedom , Right against Exploitation , 1
Which constitutional amendment lowered the voting age from 21 to 18 years? , 42nd Amendment , 44th Amendment , 61st Amendment , 73rd Amendment , 3
Who is known as the Father of the Indian Constitution? , Mahatma Gandhi , B. R. Ambedkar , Sardar Patel , Jawaharlal Nehru , 2
How many Fundamental Duties are mentioned in the Indian Constitution? , 9 , 10 , 11 , 12 , 3
Under which Article can the President of India impose President's Rule in a state? , Article 352 , Article 356 , Article 360 , Article 365 , 2
Which Schedule of the Indian Constitution contains the list of official languages? , Sixth , Seventh , Eighth , Ninth , 3
